source,target,tgt_lng
Smithing Template,锻造模板,zh-CN
Sniffer Spawn Egg,嗅探兽刷怪蛋,zh-CN
Snort Pottery Sherd,嗅探纹样陶片,zh-CN
Snout Armor Trim,猪鼻盔甲纹饰,zh-CN
Snout Banner Pattern,猪鼻旗帜图案,zh-CN
Snow Golem Spawn Egg,雪傀儡刷怪蛋,zh-CN
Snowball,雪球,zh-CN
Snowy Village Map,雪原村庄地图,zh-CN
Spawn Egg,刷怪蛋,zh-CN
Spear,矛,zh-CN
Spectral Arrow,光灵箭,zh-CN
Spider Eye,蜘蛛眼,zh-CN
Spider Spawn Egg,蜘蛛刷怪蛋,zh-CN
Spire Armor Trim,尖塔盔甲纹饰,zh-CN
Splash Potion,喷溅药水,zh-CN
Splash Potion of Fire Resistance,喷溅型抗火药水,zh-CN
Splash Potion of Harming,喷溅型伤害药水,zh-CN
Splash Potion of Healing,喷溅型治疗药水,zh-CN
Splash Potion of Infestation,喷溅型虫蚀药水,zh-CN
Splash Potion of Invisibility,喷溅型隐身药水,zh-CN
Splash Potion of Leaping,喷溅型跳跃药水,zh-CN
Splash Potion of Luck,喷溅型幸运药水,zh-CN
Splash Potion of Night Vision,喷溅型夜视药水,zh-CN
Splash Potion of Oozing,喷溅型渗浆药水,zh-CN
Splash Potion of Poison,喷溅型剧毒药水,zh-CN
Splash Potion of Regeneration,喷溅型再生药水,zh-CN
Splash Potion of Slow Falling,喷溅型缓降药水,zh-CN
Splash Potion of Slowness,喷溅型迟缓药水,zh-CN
Splash Potion of Strength,喷溅型力量药水,zh-CN
Splash Potion of Swiftness,喷溅型迅捷药水,zh-CN
Splash Potion of the Turtle Master,喷溅型神龟药水,zh-CN
Splash Potion of Water Breathing,喷溅型水肺药水,zh-CN
Splash Potion of Weakness,喷溅型虚弱药水,zh-CN
Splash Potion of Weaving,喷溅型盘丝药水,zh-CN
Splash Potion of Wind Charging,喷溅型蓄风药水,zh-CN
Splash Uncraftable Potion,不可合成的喷溅型药水,zh-CN
Splash Water Bottle,喷溅型水瓶,zh-CN
Spruce Boat,云杉木船,zh-CN
Spruce Boat with Chest,云杉木运输船,zh-CN
Spyglass,望远镜,zh-CN
Squid Spawn Egg,鱿鱼刷怪蛋,zh-CN
Steak,牛排,zh-CN
Stick,木棍,zh-CN
Stone Axe,石斧,zh-CN
Stone Hoe,石锄,zh-CN
Stone Pickaxe,石镐,zh-CN
Stone Shovel,石锹,zh-CN
Stone Spear,石矛,zh-CN
Stone Sword,石剑,zh-CN
Stray Spawn Egg,流浪者刷怪蛋,zh-CN
Strider Spawn Egg,炽足兽刷怪蛋,zh-CN
String,线,zh-CN
Sugar,糖,zh-CN
Sulfur Cube Spawn Egg,硫方怪刷怪蛋,zh-CN
Suspicious Stew,谜之炖菜,zh-CN
Swamp Explorer Map,沼泽探险家地图,zh-CN
Sweet Berries,甜浆果,zh-CN
Sword,剑,zh-CN
Tadpole Spawn Egg,蝌蚪刷怪蛋,zh-CN
Taiga Village Map,针叶林村庄地图,zh-CN
Thick Lingering Potion,滞留型浓稠的药水,zh-CN
Thick Potion,浓稠的药水,zh-CN
Thick Splash Potion,喷溅型浓稠的药水,zh-CN
Thing Banner Pattern,Mojang徽标旗帜图案,zh-CN
Tide Armor Trim,潮汐盔甲纹饰,zh-CN
Tipped Arrow,药箭,zh-CN
Torchflower Seeds,火把花种子,zh-CN
Totem of Undying,不死图腾,zh-CN
Trader Llama Spawn Egg,行商羊驼刷怪蛋,zh-CN
Trial Chambers Map,试炼密室地图,zh-CN
Trial Explorer Map,试炼探险家地图,zh-CN
Trial Key,试炼钥匙,zh-CN
Trident,三叉戟,zh-CN
Tropical Fish,热带鱼,zh-CN
Tropical Fish Spawn Egg,热带鱼刷怪蛋,zh-CN
Turtle Scute,海龟鳞甲,zh-CN
Turtle Shell,海龟壳,zh-CN
Turtle Spawn Egg,海龟刷怪蛋,zh-CN
Uncraftable Potion,不可合成的药水,zh-CN
Uncraftable Tipped Arrow,不可合成的药箭,zh-CN
Vex Armor Trim,恼鬼盔甲纹饰,zh-CN
Vex Spawn Egg,恼鬼刷怪蛋,zh-CN
Villager Spawn Egg,村民刷怪蛋,zh-CN
Vindicator Spawn Egg,卫道士刷怪蛋,zh-CN
Wandering Trader Spawn Egg,流浪商人刷怪蛋,zh-CN
Ward Armor Trim,监守盔甲纹饰,zh-CN
Warden Spawn Egg,监守者刷怪蛋,zh-CN
Warped Fungus on a Stick,诡异菌钓竿,zh-CN
Water Bottle,水瓶,zh-CN
Water Bucket,水桶,zh-CN
Wayfinder Armor Trim,向导盔甲纹饰,zh-CN
Wheat,小麦,zh-CN
Wheat Seeds,小麦种子,zh-CN
White Bundle,白色收纳袋,zh-CN
White Dye,白色染料,zh-CN
White Harness,白色挽具,zh-CN
Wild Armor Trim,荒野盔甲纹饰,zh-CN
Wind Charge,风弹,zh-CN
Witch Spawn Egg,女巫刷怪蛋,zh-CN
Wither Skeleton Spawn Egg,凋灵骷髅刷怪蛋,zh-CN
Wither Spawn Egg,凋灵刷怪蛋,zh-CN
Wolf Armor,狼铠,zh-CN
Wolf Spawn Egg,狼刷怪蛋,zh-CN
Wooden Axe,木斧,zh-CN
Wooden Hoe,木锄,zh-CN
Wooden Pickaxe,木镐,zh-CN
Wooden Shovel,木锹,zh-CN
Wooden Spear,木矛,zh-CN
Wooden Sword,木剑,zh-CN
Woodland Explorer Map,林地探险家地图,zh-CN
Written Book,成书,zh-CN
Yellow Bundle,黄色收纳袋,zh-CN
Yellow Dye,黄色染料,zh-CN
Yellow Harness,黄色挽具,zh-CN
Zoglin Spawn Egg,僵尸疣猪兽刷怪蛋,zh-CN
Zombie Horse Spawn Egg,僵尸马刷怪蛋,zh-CN
Zombie Nautilus Spawn Egg,僵尸鹦鹉螺刷怪蛋,zh-CN
Zombie Spawn Egg,僵尸刷怪蛋,zh-CN
Zombie Villager Spawn Egg,僵尸村民刷怪蛋,zh-CN
Zombified Piglin Spawn Egg,僵尸猪灵刷怪蛋,zh-CN
Allay,悦灵,zh-CN
Area Effect Cloud,区域效果云,zh-CN
Armadillo,犰狳,zh-CN
Axolotl,美西螈,zh-CN
Bat,蝙蝠,zh-CN
Bee,蜜蜂,zh-CN
Blaze,烈焰人,zh-CN
Block Display,方块展示实体,zh-CN
Boat,船,zh-CN
Boat with Chest,运输船,zh-CN
Bogged,沼骸,zh-CN
Breeze,旋风人,zh-CN
Camel,骆驼,zh-CN
Camel Husk,骆驼尸壳,zh-CN
Cat,猫,zh-CN
Cave Spider,洞穴蜘蛛,zh-CN
Chicken,鸡,zh-CN
Cod,鳕鱼,zh-CN
Copper Golem,铜傀儡,zh-CN
Cow,牛,zh-CN
Creaking,嘎枝,zh-CN
Creeper,苦力怕,zh-CN
Dolphin,海豚,zh-CN
Donkey,驴,zh-CN
Dragon Fireball,末影龙火球,zh-CN
Drowned,溺尸,zh-CN
Elder Guardian,远古守卫者,zh-CN
Ender Dragon,末影龙,zh-CN
Enderman,末影人,zh-CN
Endermite,末影螨,zh-CN
Evoker,唤魔者,zh-CN
Evoker Fangs,唤魔者尖牙,zh-CN
Experience Orb,经验球,zh-CN
Falling Block,下落的方块,zh-CN
Fireball,火球,zh-CN
Fishing Bobber,浮漂,zh-CN
Fox,狐狸,zh-CN
Frog,青蛙,zh-CN
Ghast,恶魂,zh-CN
Giant,巨人,zh-CN
Glow Squid,发光鱿鱼,zh-CN
Goat,山羊,zh-CN
Guardian,守卫者,zh-CN
Happy Ghast,快乐恶魂,zh-CN
Hoglin,疣猪兽,zh-CN
Horse,马,zh-CN
Husk,尸壳,zh-CN
Illusioner,幻术师,zh-CN
Interaction,交互实体,zh-CN
Iron Golem,铁傀儡,zh-CN
Item,物品,zh-CN
Item Display,物品展示实体,zh-CN
Leash Knot,拴绳结,zh-CN
Lightning Bolt,闪电束,zh-CN
Llama,羊驼,zh-CN
Llama Spit,羊驼唾沫,zh-CN
Magma Cube,岩浆怪,zh-CN
Mannequin,玩家模型,zh-CN
Marker,标记,zh-CN
Minecart with Monster Spawner,刷怪笼矿车,zh-CN
Mooshroom,哞菇,zh-CN
Mule,骡,zh-CN
Nautilus,鹦鹉螺,zh-CN
Ocelot,豹猫,zh-CN
Ominous Item Spawner,不祥之物生成器,zh-CN
Panda,熊猫,zh-CN
Parched,焦骸,zh-CN
Parrot,鹦鹉,zh-CN
Phantom,幻翼,zh-CN
Pig,猪,zh-CN
Piglin,猪灵,zh-CN
Piglin Brute,猪灵蛮兵,zh-CN
Pillager,掠夺者,zh-CN
Player,玩家,zh-CN
Polar Bear,北极熊,zh-CN
Primed TNT,被激活的TNT,zh-CN
Rabbit,兔子,zh-CN
Ravager,劫掠兽,zh-CN
Salmon,鲑鱼,zh-CN
Sheep,绵羊,zh-CN
Shulker,潜影贝,zh-CN
Shulker Bullet,潜影弹,zh-CN
Silverfish,蠹虫,zh-CN
Skeleton,骷髅,zh-CN
Skeleton Horse,骷髅马,zh-CN
Slime,史莱姆,zh-CN
Small Fireball,小火球,zh-CN
Sniffer,嗅探兽,zh-CN
Snow Golem,雪傀儡,zh-CN
Spider,蜘蛛,zh-CN
Squid,鱿鱼,zh-CN
Stray,流浪者,zh-CN
Strider,炽足兽,zh-CN
Sulfur Cube,硫方怪,zh-CN
Tadpole,蝌蚪,zh-CN
Text Display,文本展示实体,zh-CN
The Killer Bunny,杀手兔,zh-CN
Thrown Bottle o' Enchanting,掷出的附魔之瓶,zh-CN
Thrown Egg,掷出的鸡蛋,zh-CN
Thrown Ender Pearl,掷出的末影珍珠,zh-CN
Trader Llama,行商羊驼,zh-CN
Turtle,海龟,zh-CN
Vex,恼鬼,zh-CN
Villager,村民,zh-CN
Vindicator,卫道士,zh-CN
Wandering Trader,流浪商人,zh-CN
Warden,监守者,zh-CN
Witch,女巫,zh-CN
Wither,凋灵,zh-CN
Wither Skeleton,凋灵骷髅,zh-CN
Wither Skull,凋灵之首,zh-CN
Wolf,狼,zh-CN
Zoglin,僵尸疣猪兽,zh-CN
Zombie,僵尸,zh-CN
Zombie Horse,僵尸马,zh-CN
Zombie Nautilus,僵尸鹦鹉螺,zh-CN
Zombie Villager,僵尸村民,zh-CN
Zombified Piglin,僵尸猪灵,zh-CN
Acacia,金合欢树,zh-CN
Amethyst Geode,紫晶洞,zh-CN
Ancient City,远古城市,zh-CN
Aquifer,含水层,zh-CN
Azalea,杜鹃树,zh-CN
Basalt Column,玄武岩石柱林,zh-CN
Basalt Pillar,玄武岩柱,zh-CN
Bastion Remnant,堡垒遗迹,zh-CN
Birch,白桦,zh-CN
Bonus Chest,奖励箱,zh-CN
Bryce Pillar,岩柱,zh-CN
Buried Treasure,埋藏的宝藏,zh-CN
Cave,洞穴,zh-CN
Cheese Cave,芝士洞穴,zh-CN
Cherry Blossom Tree,樱花树,zh-CN
Chorus Plant,紫颂树,zh-CN
Cloud,云,zh-CN
Conduit Frame,潮涌核心框架,zh-CN
Coral Reef,珊瑚礁,zh-CN
Dark Oak,深色橡树,zh-CN
Delta,三角洲,zh-CN
Desert Pyramid,沙漠神殿,zh-CN
Desert Well,沙漠水井,zh-CN
Dimension,维度,zh-CN
Disk,圆盘,zh-CN
Dripstone,滴水石,zh-CN
Dripstone Cluster,滴水石簇,zh-CN
End City,末地城,zh-CN
End Island,末地浮岛,zh-CN
End Platform,末地平台,zh-CN
End Ship,末地船,zh-CN
Erosion,盆地,zh-CN
Exit Portal,返回传送门,zh-CN
Far Lands,边境之地,zh-CN
Fill Layer,填充层,zh-CN
Floating Island,浮岛,zh-CN
Fog,迷雾,zh-CN
Fortress,下界要塞,zh-CN
Fossil,化石,zh-CN
Freeze Top Layer,冰冻顶层,zh-CN
Glowstone Blob,荧石堆,zh-CN
Hill,丘陵,zh-CN
Huge Brown Mushroom,巨型棕色蘑菇,zh-CN
Huge Crimson Fungus,巨型绯红菌,zh-CN
Huge Fungus,巨型下界菌,zh-CN
Huge Mushroom,巨型蘑菇,zh-CN
Huge Red Mushroom,巨型红色蘑菇,zh-CN
Huge Warped Fungus,巨型诡异菌,zh-CN
Ice Spike,冰刺,zh-CN
Iceberg,冰山,zh-CN
Igloo,雪屋,zh-CN
Jungle Pyramid,丛林神庙,zh-CN
Jungle Tree,丛林树,zh-CN
Large Dripstone,大型滴水石,zh-CN
Lava Lake,熔岩湖,zh-CN
Lava Sea,熔岩海,zh-CN
Leaf Clay,多叶黏土层,zh-CN
Mangrove,红树,zh-CN
Mansion,林地府邸,zh-CN
Mineshaft,废弃矿井,zh-CN
Monster Room,刷怪房,zh-CN
Moon,月亮,zh-CN
Mossy Cobblestone Boulder,生苔的巨石,zh-CN
Mountain,山脉,zh-CN
Nether Fortress,下界要塞,zh-CN
Nether Fossil,下界化石,zh-CN
Noise Cave,噪声洞穴,zh-CN
Noodle Cave,面条洞穴,zh-CN
Oak,橡树,zh-CN
Obsidian Pillar,黑曜石柱,zh-CN
Obsidian Platform,黑曜石平台,zh-CN
Ocean Monument,海底神殿,zh-CN
Ocean Ruin,海底废墟,zh-CN
Ore,矿团,zh-CN
Overworld,主世界,zh-CN
Pale Oak,苍白橡树,zh-CN
Pile,方块堆,zh-CN
Pillager Outpost,掠夺者前哨站,zh-CN
Rain,降雨,zh-CN
Random Patch,随机斑块,zh-CN
Ravine,峡谷,zh-CN
Ruined Portal,废弃传送门,zh-CN
Sculk Patch,幽匿斑块,zh-CN
Shipwreck,沉船,zh-CN
Snowfall,降雪,zh-CN
Spaghetti Cave,意面洞穴,zh-CN
Spring,涌泉,zh-CN
Spruce,云杉,zh-CN
Stars,星星,zh-CN
Stone Platform,石头平台,zh-CN
Stronghold,要塞,zh-CN
Sulfur Pool,硫黄池,zh-CN
Sulfur Spring,硫黄涌泉,zh-CN
Sun,太阳,zh-CN
Swamp Hut,沼泽小屋,zh-CN
The End,末地,zh-CN
The Nether,下界,zh-CN
The Void,虚空,zh-CN
Thunderstorm,雷暴,zh-CN
Trail Ruins,古迹废墟,zh-CN
Tree,树木,zh-CN
Trial Chambers,试炼密室,zh-CN
Underwater Cave,水下洞穴,zh-CN
Underwater Ravine,水下峡谷,zh-CN
Underwater Ruins,海底废墟,zh-CN
Village,村庄,zh-CN
Void Start Platform,虚空平台,zh-CN
Woodland Mansion,林地府邸,zh-CN
World Border,世界边界,zh-CN
World Boundary,世界界限,zh-CN
Badlands,恶地,zh-CN
Bamboo Jungle,竹林,zh-CN
Basalt Deltas,玄武岩三角洲,zh-CN
Beach,沙滩,zh-CN
Birch Forest,桦木森林,zh-CN
Cherry Grove,樱花树林,zh-CN
Cold Ocean,冷水海洋,zh-CN
Crimson Forest,绯红森林,zh-CN
Dark Forest,黑森林,zh-CN
Deep Cold Ocean,冷水深海,zh-CN
Deep Dark,深暗之域,zh-CN
Deep Frozen Ocean,冰冻深海,zh-CN
Deep Lukewarm Ocean,温水深海,zh-CN
Deep Ocean,深海,zh-CN
Desert,沙漠,zh-CN
Dripstone Caves,溶洞,zh-CN
End Barrens,末地荒地,zh-CN
End Highlands,末地高地,zh-CN
End Midlands,末地内陆,zh-CN
Eroded Badlands,风蚀恶地,zh-CN
Flower Forest,繁花森林,zh-CN
Forest,森林,zh-CN
Frozen Ocean,冻洋,zh-CN
Frozen Peaks,冰封山峰,zh-CN
Frozen River,冻河,zh-CN
Grove,雪林,zh-CN
Ice Spikes,冰刺之地,zh-CN
Jagged Peaks,尖峭山峰,zh-CN
Jungle,丛林,zh-CN
Lukewarm Ocean,温水海洋,zh-CN
Lush Caves,繁茂洞穴,zh-CN
Mangrove Swamp,红树林沼泽,zh-CN
Meadow,草甸,zh-CN
Mushroom Fields,蘑菇岛,zh-CN
Nether Wastes,下界荒地,zh-CN
Ocean,海洋,zh-CN
Old Growth Birch Forest,原始桦木森林,zh-CN
Old Growth Pine Taiga,原始松木针叶林,zh-CN
Old Growth Spruce Taiga,原始云杉针叶林,zh-CN
Pale Garden,苍白之园,zh-CN
Plains,平原,zh-CN
River,河流,zh-CN
Savanna,热带草原,zh-CN
Savanna Plateau,热带高原,zh-CN
Small End Islands,末地小型岛屿,zh-CN
Snowy Beach,积雪沙滩,zh-CN
Snowy Plains,雪原,zh-CN
Snowy Slopes,积雪山坡,zh-CN
Snowy Taiga,积雪针叶林,zh-CN
Soul Sand Valley,灵魂沙峡谷,zh-CN
Sparse Jungle,稀疏丛林,zh-CN
Stony Peaks,裸岩山峰,zh-CN
Stony Shore,石岸,zh-CN
Sulfur Caves,硫黄洞穴,zh-CN
Sunflower Plains,向日葵平原,zh-CN
Swamp,沼泽,zh-CN
Taiga,针叶林,zh-CN
Warm Ocean,暖水海洋,zh-CN
Warped Forest,诡异森林,zh-CN
Windswept Forest,风袭森林,zh-CN
Windswept Gravelly Hills,风袭沙砾丘陵,zh-CN
Windswept Hills,风袭丘陵,zh-CN
Windswept Savanna,风袭热带草原,zh-CN
Wooded Badlands,疏林恶地,zh-CN
Absorption,伤害吸收,zh-CN
Bad Luck,霉运,zh-CN
Bad Omen,不祥之兆,zh-CN
Blindness,失明,zh-CN
Breath of the Nautilus,鹦鹉螺之息,zh-CN
Conduit Power,潮涌能量,zh-CN
Darkness,黑暗,zh-CN
Dolphin's Grace,海豚的恩惠,zh-CN
Fire Resistance,抗火,zh-CN
Glowing,发光,zh-CN
Haste,急迫,zh-CN
Health Boost,生命提升,zh-CN
Hero of the Village,村庄英雄,zh-CN
Hunger,饥饿,zh-CN
Infested,寄生,zh-CN
Instant Damage,瞬间伤害,zh-CN
Instant Health,瞬间治疗,zh-CN
Invisibility,隐身,zh-CN
Jump Boost,跳跃提升,zh-CN
Levitation,飘浮,zh-CN
Luck,幸运,zh-CN
Mining Fatigue,挖掘疲劳,zh-CN
Nausea,反胃,zh-CN
Night Vision,夜视,zh-CN
Oozing,渗浆,zh-CN
Poison,中毒,zh-CN
Raid Omen,袭击之兆,zh-CN
Regeneration,生命恢复,zh-CN
Resistance,抗性提升,zh-CN
Saturation,饱和,zh-CN
Slow Falling,缓降,zh-CN
Slowness,缓慢,zh-CN
Speed,迅捷,zh-CN
Strength,力量,zh-CN
Trial Omen,试炼之兆,zh-CN
Water Breathing,水下呼吸,zh-CN
Weakness,虚弱,zh-CN
Weaving,盘丝,zh-CN
Wind Charged,蓄风,zh-CN
Wither,凋零,zh-CN
Aqua Affinity,水下速掘,zh-CN
Bane of Arthropods,节肢杀手,zh-CN
Blast Protection,爆炸保护,zh-CN
Breach,破甲,zh-CN
Channeling,引雷,zh-CN
Curse of Binding,绑定诅咒,zh-CN
Curse of Vanishing,消失诅咒,zh-CN
Density,致密,zh-CN
Depth Strider,深海探索者,zh-CN
Efficiency,效率,zh-CN
Feather Falling,摔落缓冲,zh-CN
Fire Aspect,火焰附加,zh-CN
Fire Protection,火焰保护,zh-CN
Flame,火矢,zh-CN
Fortune,时运,zh-CN
Frost Walker,冰霜行者,zh-CN
Impaling,穿刺,zh-CN
Infinity,无限,zh-CN
Knockback,击退,zh-CN
Looting,抢夺,zh-CN
Loyalty,忠诚,zh-CN
Luck of the Sea,海之眷顾,zh-CN
Lunge,突进,zh-CN
Lure,饵钓,zh-CN
Mending,经验修补,zh-CN
Multishot,多重射击,zh-CN
Piercing,穿透,zh-CN
Power,力量,zh-CN
Projectile Protection,弹射物保护,zh-CN
Protection,保护,zh-CN
Punch,冲击,zh-CN
Quick Charge,快速装填,zh-CN
Respiration,水下呼吸,zh-CN
Riptide,激流,zh-CN
Sharpness,锋利,zh-CN
Silk Touch,精准采集,zh-CN
Smite,亡灵杀手,zh-CN
Soul Speed,灵魂疾行,zh-CN
Sweeping Edge,横扫之刃,zh-CN
Swift Sneak,迅捷潜行,zh-CN
Thorns,荆棘,zh-CN
Unbreaking,耐久,zh-CN
Wind Burst,风爆,zh-CN
进度,,zh-CN
A Balanced Diet,均衡饮食,zh-CN
A Complete Catalogue,百猫全书,zh-CN
A Furious Cocktail,狂乱的鸡尾酒,zh-CN
A Seedy Place,开荒垦地,zh-CN
A Terrible Fortress,阴森的要塞,zh-CN
A Throwaway Joke,抖包袱,zh-CN
Acquire Hardware,来硬的,zh-CN
Adventure,冒险,zh-CN
Adventuring Time,探索的时光,zh-CN
Arbalistic,劲弩手,zh-CN
Beaconator,信标工程师,zh-CN
Bee Our Guest,与蜂共舞,zh-CN
Best Friends Forever,永恒的伙伴,zh-CN
Birthday Song,生日快乐歌,zh-CN
Blowback,逆风翻盘,zh-CN
Bring Home the Beacon,带信标回家,zh-CN
Bukkit Bukkit,蚪到桶里来,zh-CN
Bullseye,正中靶心,zh-CN
Careful Restoration,精修细补,zh-CN
Caves & Cliffs,上天入地,zh-CN
"Country Lode, Take Me Home",天涯共此石,zh-CN
Cover Me in Debris,残骸裹身,zh-CN
Cover Me with Diamonds,钻石护体,zh-CN
Crafters Crafting Crafters,合成器合成合成器,zh-CN
Crafting a New Look,旧貌锻新颜,zh-CN
Diamonds!,钻石！,zh-CN
Enchanter,附魔师,zh-CN
Eye Spy,隔墙有眼,zh-CN
Feels Like Home,温暖如家,zh-CN
Fishy Business,腥味十足的生意,zh-CN
Free the End,解放末地,zh-CN
Getting an Upgrade,获得升级,zh-CN
Glow and Behold!,眼前一亮！,zh-CN
Good as New,完好如初,zh-CN
Great View From Up Here,这上面的风景不错,zh-CN
Heart Transplanter,移心接木,zh-CN
Hidden in the Depths,深藏不露,zh-CN
Hired Help,招募援兵,zh-CN
Hot Stuff,热腾腾的,zh-CN
Hot Tourist Destinations,热门景点,zh-CN
How Did We Get Here?,为什么会变成这样呢？,zh-CN
Husbandry,农牧业,zh-CN
Ice Bucket Challenge,冰桶挑战,zh-CN
Into Fire,与火共舞,zh-CN
Is It a Balloon?,那是气球吗？,zh-CN
Is It a Bird?,那是鸟吗？,zh-CN
Is It a Plane?,那是飞机吗？,zh-CN
Isn't It Iron Pick,这不是铁镐么,zh-CN
Isn't It Scute?,这不是鳞甲么？,zh-CN
It Spreads,它蔓延了,zh-CN
Light as a Rabbit,轻功雪上飘,zh-CN
Lighten Up,铜光焕发,zh-CN
Little Sniffs,小小嗅探兽,zh-CN
Local Brewery,本地酿造厂,zh-CN
Minecraft,Minecraft,zh-CN
Minecraft: Trial(s) Edition,Minecraft：试炼版,zh-CN
Mob Kabob,生物串串香,zh-CN
Monster Hunter,怪物猎人,zh-CN
Monsters Hunted,资深怪物猎人,zh-CN
Nether,下界,zh-CN
"Not Quite ""Nine"" Lives",锚没有九条命,zh-CN
"Not Today, Thank You",不吃这套，谢谢,zh-CN
Oh Shiny,金光闪闪,zh-CN
Ol' Betsy,扣下悬刀,zh-CN
Over-Overkill,天赐良击,zh-CN
Planting the Past,播种往事,zh-CN
Postmortal,超越生死,zh-CN
Remote Getaway,远程折跃,zh-CN
Respecting the Remnants,探古寻源,zh-CN
Return to Sender,见鬼去吧,zh-CN
Revaulting,宝经磨炼,zh-CN
Serious Dedication,终极奉献,zh-CN
Shear Brilliance,华丽一剪,zh-CN
Sky's the Limit,天空即为极限,zh-CN
Smells Interesting,怪味蛋,zh-CN
Smithing with Style,匠心独具,zh-CN
Sneak 100,潜行100级,zh-CN
Sniper Duel,狙击手的对决,zh-CN
Sound of Music,音乐之声,zh-CN
Spooky Scary Skeleton,惊悚恐怖骷髅头,zh-CN
Star Trader,星际商人,zh-CN
Stay Hydrated!,补水保湿！,zh-CN
Sticky Situation,胶着状态,zh-CN
Stone Age,石器时代,zh-CN
Subspace Bubble,曲速泡,zh-CN
Suit Up,整装上阵,zh-CN
Surge Protector,电涌保护器,zh-CN
Sweet Dreams,甜蜜的梦,zh-CN
Tactical Fishing,战术性钓鱼,zh-CN
Take Aim,瞄准目标,zh-CN
The City at the End of the Game,在游戏尽头的城市,zh-CN
The Cutest Predator,最萌捕食者,zh-CN
The End... Again...,结束了…再一次…,zh-CN
The End?,结束了？,zh-CN
The Healing Power of Friendship!,友谊的治愈力！,zh-CN
The Next Generation,下一世代,zh-CN
The Parrots and the Bats,我从哪儿来？,zh-CN
The Power of Books,知识就是力量,zh-CN
The Whole Pack,群狼聚首,zh-CN
This Boat Has Legs,画船添足,zh-CN
Those Were the Days,光辉岁月,zh-CN
Total Beelocation,举巢搬迁,zh-CN
"Two Birds, One Arrow",一箭双雕,zh-CN
Two by Two,成双成对,zh-CN
Uh Oh,坏了,zh-CN
Under Lock and Key,珍藏密敛,zh-CN
Uneasy Alliance,脆弱的同盟,zh-CN
Very Very Frightening,魔女审判,zh-CN
Voluntary Exile,自我放逐,zh-CN
War Pigs,战猪,zh-CN
Wax Off,脱蜡,zh-CN
Wax On,涂蜡,zh-CN
We Need to Go Deeper,勇往直下,zh-CN
What a Deal!,成交！,zh-CN
Whatever Floats Your Goat!,羊帆起航！,zh-CN
When the Squad Hops into Town,呱呱队出动,zh-CN
Who Needs Rockets?,还要啥火箭啊？,zh-CN
Who is Cutting Onions?,谁在切洋葱？,zh-CN
Who's the Pillager Now?,现在谁才是掠夺者？,zh-CN
With Our Powers Combined!,相映生辉！,zh-CN
Withering Heights,凋零山庄,zh-CN
You Need a Mint,你需要来点薄荷糖,zh-CN
You've Got a Friend in Me,找到一个好朋友,zh-CN
Zombie Doctor,僵尸科医生,zh-CN
游戏难度和模式,,zh-CN
Peaceful,和平,zh-CN
Easy,简单,zh-CN
Normal,普通,zh-CN
Hard,困难,zh-CN
Creative,创造模式,zh-CN
Survival,生存模式,zh-CN
Hardcore,极限模式,zh-CN
Adventure,冒险模式,zh-CN
Spectator,旁观模式,zh-CN
Demo,演示模式,zh-CN
演示版,,zh-CN
Survival Singleplayer (SSP),单人生存模式,zh-CN
Survival Multiplayer (SMP),多人生存模式,zh-CN
Creative Singleplayer (CSP),单人创造模式,zh-CN
Creative Multiplayer (CMP),多人创造模式,zh-CN
Hardcore Singleplayer (HSP),单人极限模式,zh-CN
Hardcore Multiplayer (HMP),多人极限模式,zh-CN
Adventure Singleplayer (ASP),单人冒险模式,zh-CN
Adventure Multiplayer (AMP),多人冒险模式,zh-CN
游戏内容,,zh-CN
Splash,闪烁标语,zh-CN
Accessibility,辅助功能,zh-CN
Advancement,进度,zh-CN
Attack indicator,攻击指示器,zh-CN
Chest loot,箱子战利品,zh-CN
Loot table,战利品表,zh-CN
Crosshair,（十字）准星,zh-CN
Heads-up display (HUD),抬头显示器,zh-CN
平视显示器,编写时常用HUD,zh-CN
Inventory,物品栏,zh-CN
Hotbar,快捷栏,zh-CN
Narrator,复述功能,zh-CN
Slot,槽位,zh-CN
Material,材料,zh-CN
Rarity,稀有度,zh-CN
Scoreboard,记分板,zh-CN
Spawn,生成,zh-CN
Status effect,状态效果,zh-CN
Third person view,第三人称视角,zh-CN
Waterlogging,含水,zh-CN
Breaking,破坏,zh-CN
Breeding,繁殖,zh-CN
Brewing,酿造,zh-CN
Farming,耕种,zh-CN
Crafting,合成,zh-CN
Recipe book,配方书,zh-CN
Enchanting,附魔,zh-CN
Health,生命,zh-CN
Health bar,生命条,zh-CN
Saturation level,饱和度,zh-CN
Smelting,烧炼,zh-CN
Trading,交易,zh-CN
Blocking,防御,zh-CN
Dual wield,双持,zh-CN
Sneaking,潜行,zh-CN
Sprinting,疾跑,zh-CN
Transportation,运输,zh-CN
Vehicle,载具,zh-CN
Tutorial hint,教学提示,zh-CN
Pillager patrol,灾厄巡逻队,zh-CN
Raid,袭击,zh-CN
Tier,品质,zh-CN
Architecture,建筑,zh-CN
Feature,地物,zh-CN
Old,旧世界类型,zh-CN
Hollow,空洞,zh-CN
Opacity,不透明度,zh-CN
Novice,新手,zh-CN
Apprentice,学徒,zh-CN
Journeyman,老手,zh-CN
Expert,专家,zh-CN
Master,大师,zh-CN
Unemployed,失业,zh-CN
Nitwit,傻子,zh-CN
Armorer,盔甲匠,zh-CN
Butcher,屠夫,zh-CN
